inputType;task;size;numberInBlock;duration;durationPerPixel;errors;aborted;screenChanges;targetOnMainScreen;positionOnScreen;posNumber;XdistancePrevTarget;YdistancePrevTarget;targetWidth;targetHeight;indexOfDifficulty;eyeMouseDistribution;eyeIntervalsDuration;mouseIntervalsDuration;intervalChanges
Mouse;Select;small;2;883;0.6792307692307692;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;25,858;25;858;1
Mouse;Select;small;3;939;0.36536964980544745;0;false;;false;1;1;2570;0;250;90;3.495695162624069;126,813;126;813;1
Mouse;Select;small;0;746;0.3806122448979592;0;false;;false;2;2;1960;0;250;90;3.144046369616707;746;746;0;0
Mouse;Select;small;1;843;0.44136125654450264;0;false;;true;2;4;1910;0;250;90;3.111031312388744;223,620;223;620;1
Mouse;Select;small;2;1298;0.33540051679586563;0;false;;false;1;1;3870;0;250;90;4.042644337408494;17,1281;17;1281;1
Mouse;Select;small;3;1110;0.43190661478599224;0;false;;true;1;3;2570;0;250;90;3.495695162624069;714,396;714;396;1
Mouse;Select;large;0;618;618;0;false;;true;1;3;1;0;500;180;0.002882508533121365;618;618;0;0
Mouse;Select;large;1;791;0.6084615384615385;0;false;;true;2;4;1300;0;500;180;1.84799690655495;135,656;135;656;1
Mouse;Select;large;2;1098;0.2837209302325581;0;false;;false;1;1;3870;0;500;180;3.127633279725874;62,1036;62;1036;1
Mouse;Select;large;3;828;0.42244897959183675;0;false;;false;2;2;1960;0;500;180;2.298658315564515;828;828;0;0
Mouse;Select;large;0;386;386;0;false;;false;2;2;1;0;500;180;0.002882508533121365;386;386;0;0
Mouse;Select;large;1;831;0.42397959183673467;0;false;;false;1;1;1960;0;500;180;2.298658315564515;831;831;0;0
Mouse;Select;large;2;1027;0.265374677002584;0;false;;true;2;4;3870;0;500;180;3.127633279725874;439,588;439;588;1
Mouse;Select;large;3;636;0.48923076923076925;0;false;;true;1;3;1300;0;500;180;1.84799690655495;22,614;22;614;1
Mouse;Select;small;0;909;0.6992307692307692;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;16,893;16;893;1
Mouse;Select;small;1;955;0.5;0;false;;false;2;2;1910;0;250;90;3.111031312388744;111,844;111;844;1
Mouse;Select;small;2;696;1.140983606557377;0;false;;true;1;3;610;0;250;90;1.7824085649273733;253,443;253;443;1
Mouse;Select;small;3;1081;0.4206225680933852;0;false;;false;1;1;2570;0;250;90;3.495695162624069;17,1064;17;1064;1
Mouse;Select;small;0;763;0.3892857142857143;0;false;;false;2;2;1960;0;250;90;3.144046369616707;763;763;0;0
Mouse;Select;small;1;1056;0.5387755102040817;0;false;;false;1;1;1960;0;250;90;3.144046369616707;1056;1056;0;0
Mouse;Select;small;2;1099;0.42762645914396885;0;false;;true;1;3;2570;0;250;90;3.495695162624069;688,411;688;411;1
Mouse;Select;small;3;813;0.6253846153846154;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;35,778;35;778;1
Mouse;Select;small;0;401;401;0;false;;true;2;4;1;0;250;90;0.005759269288684953;401;401;0;0
Mouse;Select;small;1;1051;0.550261780104712;0;false;;false;2;2;1910;0;250;90;3.111031312388744;191,860;191;860;1
Mouse;Select;small;2;949;0.48418367346938773;0;false;;false;1;1;1960;0;250;90;3.144046369616707;949;949;0;0
Mouse;Select;small;3;1267;0.49299610894941637;0;false;;true;1;3;2570;0;250;90;3.495695162624069;751,516;751;516;1
Mouse;Select;small;0;1163;0.8946153846153846;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;323,840;323;840;1
Mouse;Select;small;1;760;0.5846153846153846;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;135,625;135;625;1
Mouse;Select;small;2;1195;0.4649805447470817;0;false;;false;1;1;2570;0;250;90;3.495695162624069;71,1124;71;1124;1
Mouse;Select;small;3;1069;0.5454081632653062;0;false;;false;2;2;1960;0;250;90;3.144046369616707;1069;1069;0;0
Mouse;Select;small;0;1313;0.6698979591836735;0;false;;false;1;1;1960;0;250;90;3.144046369616707;1313;1313;0;0
Mouse;Select;small;1;1091;0.4245136186770428;0;false;;true;1;3;2570;0;250;90;3.495695162624069;679,412;679;412;1
Mouse;Select;small;2;576;0.9442622950819672;0;false;;false;2;2;610;0;250;90;1.7824085649273733;2,574;2;574;1
Mouse;Select;small;3;1031;0.5397905759162304;0;false;;true;2;4;1910;0;250;90;3.111031312388744;276,755;276;755;1
Mouse;Select;small;0;655;0.16925064599483206;0;false;;false;1;1;3870;0;250;90;4.042644337408494;655;655;0;0
Mouse;Select;small;1;1464;0.37829457364341085;0;false;;true;2;4;3870;0;250;90;4.042644337408494;476,988;476;988;1
Mouse;Select;small;2;960;0.5026178010471204;0;false;;false;2;2;1910;0;250;90;3.111031312388744;22,938;22;938;1
Mouse;Select;small;3;904;1.481967213114754;0;false;;true;1;3;610;0;250;90;1.7824085649273733;228,676;228;676;1
Mouse;Select;large;0;513;513;0;false;;true;1;3;1;0;500;180;0.002882508533121365;513;513;0;0
Mouse;Select;large;1;564;0.9245901639344263;0;false;;false;2;2;610;0;500;180;1.1505596765753812;191,373;191;373;1
Mouse;Select;large;2;876;0.44693877551020406;0;false;;false;1;1;1960;0;500;180;2.298658315564515;876;876;0;0
Mouse;Select;large;3;1195;0.3087855297157623;0;false;;true;2;4;3870;0;500;180;3.127633279725874;519,676;519;676;1
Mouse;Select;small;0;1501;0.38785529715762274;0;false;;false;1;1;3870;0;250;90;4.042644337408494;387,1114;387;1114;1
Mouse;Select;small;1;1136;0.44202334630350193;0;false;;true;1;3;2570;0;250;90;3.495695162624069;700,436;700;436;1
Mouse;Select;small;2;1221;0.9392307692307692;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;20,1201;20;1201;1
Mouse;Select;small;3;1107;0.5795811518324607;0;false;;false;2;2;1910;0;250;90;3.111031312388744;95,1012;95;1012;1
Mouse;Select;large;0;844;0.4306122448979592;0;false;;false;1;1;1960;0;500;180;2.298658315564515;844;844;0;0
Mouse;Select;large;1;827;0.3217898832684825;0;false;;true;1;3;2570;0;500;180;2.6182386555954547;543,284;543;284;1
Mouse;Select;large;2;1021;0.7853846153846153;0;false;;true;2;4;1300;0;500;180;1.84799690655495;8,1013;8;1013;1
Mouse;Select;large;3;867;0.4539267015706806;0;false;;false;2;2;1910;0;500;180;2.269033146455237;47,820;47;820;1
Mouse;Select;large;0;536;536;0;false;;false;2;2;1;0;500;180;0.002882508533121365;536;536;0;0
Mouse;Select;large;1;676;1.1081967213114754;0;false;;true;1;3;610;0;500;180;1.1505596765753812;263,413;263;413;1
Mouse;Select;large;2;935;0.3638132295719844;0;false;;false;1;1;2570;0;500;180;2.6182386555954547;28,907;28;907;1
Mouse;Select;large;3;1128;0.29147286821705426;0;false;;true;2;4;3870;0;500;180;3.127633279725874;492,636;492;636;1
Mouse;Select;large;0;792;0.20465116279069767;0;false;;false;1;1;3870;0;500;180;3.127633279725874;792;792;0;0
Mouse;Select;large;1;845;0.43112244897959184;0;false;;false;2;2;1960;0;500;180;2.298658315564515;845;845;0;0
Mouse;Select;large;2;883;1.4475409836065574;0;false;;true;1;3;610;0;500;180;1.1505596765753812;639,244;639;244;1
Mouse;Select;large;3;644;0.49538461538461537;0;false;;true;2;4;1300;0;500;180;1.84799690655495;29,615;29;615;1
Mouse;Select;small;0;1013;0.7792307692307693;0;false;;true;1;3;1300;0;250;90;2.6322682154995127;324,689;324;689;1
Mouse;Select;small;1;719;0.553076923076923;0;false;;true;2;4;1300;0;250;90;2.6322682154995127;134,585;134;585;1
Mouse;Select;small;2;771;0.4036649214659686;0;false;;false;2;2;1910;0;250;90;3.111031312388744;103,668;103;668;1
Mouse;Select;small;3;1086;0.5540816326530612;0;false;;false;1;1;1960;0;250;90;3.144046369616707;1086;1086;0;0
Mouse;Select;large;0;1249;0.3227390180878553;0;false;;true;2;4;3870;0;500;180;3.127633279725874;422,827;422;827;1
Mouse;Select;large;1;1232;0.3183462532299742;0;false;;false;1;1;3870;0;500;180;3.127633279725874;3,1229;3;1229;1
Mouse;Select;large;2;984;0.38287937743190664;0;false;;true;1;3;2570;0;500;180;2.6182386555954547;677,307;677;307;1
Mouse;Select;large;3;577;0.9459016393442623;0;false;;false;2;2;610;0;500;180;1.1505596765753812;5,572;5;572;1
Mouse;Select;small;0;815;815;0;false;;false;2;2;1;0;250;90;0.005759269288684953;815;815;0;0
Mouse;Select;small;1;722;1.1836065573770491;0;false;;true;1;3;610;0;250;90;1.7824085649273733;286,436;286;436;1
Mouse;Select;small;2;1096;0.4264591439688716;0;false;;false;1;1;2570;0;250;90;3.495695162624069;18,1078;18;1078;1
Mouse;Select;small;3;1296;0.33488372093023255;0;false;;true;2;4;3870;0;250;90;4.042644337408494;548,748;548;748;1
Mouse;Select;large;0;421;421;0;false;;true;2;4;1;0;500;180;0.002882508533121365;31,390;31;390;1
Mouse;Select;large;1;1156;0.2987080103359173;0;false;;false;1;1;3870;0;500;180;3.127633279725874;160,996;160;996;1
Mouse;Select;large;2;764;0.38979591836734695;0;false;;false;2;2;1960;0;500;180;2.298658315564515;764;764;0;0
Mouse;Select;large;3;530;0.8688524590163934;0;false;;true;1;3;610;0;500;180;1.1505596765753812;263,267;263;267;1
